loan_id,sector,initial_rating,ead,Actual_Default,Predicted_Default,Risk_Score_Percent
L028221,Real_Estate,CCC,4947334.75,1.0,1.0,98.67
L035134,Telecom,CCC,24024763.61,1.0,1.0,98.62
L000784,Real_Estate,CCC,6038637.31,0.0,1.0,98.54
L004183,Real_Estate,CCC,4986469.4,0.0,1.0,98.45
L049399,Healthcare,CCC,160524.22,1.0,1.0,98.43
L046368,Financials,CCC,2419797.31,1.0,1.0,98.38
L019382,Energy,CCC,1150489.54,1.0,1.0,98.16
L031737,Healthcare,CCC,567023.41,1.0,1.0,98.09
L044446,Telecom,CCC,6369948.53,1.0,1.0,98.08
L004810,Technology,CCC,1024338.54,1.0,1.0,98.03
L027225,Consumer,CCC,409659.54,1.0,1.0,97.99
L005471,Consumer,CCC,165685.56,1.0,1.0,97.97
L045786,Telecom,CCC,2043992.01,1.0,1.0,97.94
L041347,Industrials,CCC,978184.45,1.0,1.0,97.91
L002417,Real_Estate,CCC,3728521.42,1.0,1.0,97.8
L020787,Utilities,CCC,3868285.05,1.0,1.0,97.61
L015750,Utilities,CCC,105714.36,1.0,1.0,97.6
L043604,Financials,CCC,1677216.13,1.0,1.0,97.57
L000921,Real_Estate,CCC,4927038.77,0.0,1.0,97.53
L043324,Healthcare,CCC,26888085.62,0.0,1.0,97.52
L015923,Industrials,CCC,10804186.37,1.0,1.0,97.5
L046380,Technology,CCC,346265.76,1.0,1.0,97.49
L009068,Telecom,CCC,10016611.38,1.0,1.0,97.47
L004095,Telecom,CCC,388879.32,1.0,1.0,97.45
L000036,Healthcare,CCC,337994.72,1.0,1.0,97.43
L041209,Utilities,CCC,656760.31,0.0,1.0,97.4
L035845,Consumer,CCC,510533.42,1.0,1.0,97.39
L019737,Telecom,CCC,13417001.29,0.0,1.0,97.39
L018605,Financials,CCC,4442021.51,1.0,1.0,97.38
L025774,Financials,CCC,3158642.37,1.0,1.0,97.38
L006547,Utilities,CCC,3605324.83,0.0,1.0,97.38
L017984,Energy,CCC,1350037.81,0.0,1.0,97.37
L042642,Consumer,CCC,456823.86,1.0,1.0,97.36
L043608,Utilities,CCC,734589.79,1.0,1.0,97.36
L019330,Retail,CCC,149173.98,1.0,1.0,97.35
L043338,Retail,CCC,452557.03,0.0,1.0,97.35
L029778,Industrials,CCC,1542336.03,1.0,1.0,97.32
L021011,Financials,CCC,2201226.06,0.0,1.0,97.32
L036467,Industrials,CCC,57012670.88,1.0,1.0,97.26
L045605,Healthcare,CCC,904052.17,1.0,1.0,97.25
L018273,Technology,CCC,3148599.13,0.0,1.0,97.22
L033515,Industrials,CCC,494129.35,1.0,1.0,97.2
L010774,Telecom,CCC,3079118.6,1.0,1.0,97.19
L029155,Telecom,CCC,415976.57,0.0,1.0,97.18
L031904,Telecom,CCC,2776907.52,1.0,1.0,97.17
L014813,Utilities,CCC,1698138.56,0.0,1.0,97.14
L002539,Technology,CCC,259386.88,0.0,1.0,97.12
L049006,Financials,CCC,2310493.52,1.0,1.0,97.1
L029654,Healthcare,CCC,2781311.29,1.0,1.0,97.08
L024761,Consumer,CCC,115752.46,1.0,1.0,97.03
L033765,Telecom,CCC,2980658.03,1.0,1.0,97.02
L021083,Real_Estate,CCC,4085458.73,1.0,1.0,96.99
L045079,Telecom,CCC,5089565.28,1.0,1.0,96.96
L030818,Financials,CCC,2135137.49,0.0,1.0,96.92
L033201,Healthcare,CCC,488031.67,1.0,1.0,96.9
L007454,Energy,CCC,3096501.57,0.0,1.0,96.9
L045414,Utilities,CCC,429492.82,1.0,1.0,96.87
L003599,Industrials,CCC,2932350.65,1.0,1.0,96.83
L002752,Energy,CCC,6160628.94,1.0,1.0,96.81
L030282,Technology,CCC,298707.33,1.0,1.0,96.79
